date,as_of_date,scenario_id,alias,capital_brl,market_state,driver_regime,driver_confidence_score,driver_gross_exposure,recommended_mode,order_count,fill_count,selected_assets,target_weights_json,notes
2023-01-02,2023-01-02,apollo_200,Apollo,200.0,balanced,stable,0.625,0.25,equilibrio,0,0,,"{""BTC-USD"": 0.21583333333333335, ""CASH-BRL"": 0.63, ""PETR4.SA"": 0.15416666666666665}","Sem gatilho forte; fica em balanced. | Tickers sem preço válido caíram para caixa: SPY,QQQ,VALE3.SA,SHY"
2023-01-03,2023-01-03,apollo_200,Apollo,200.0,balanced,stable,0.625,0.25,equilibrio,0,0,,"{""BTC-USD"": 0.21583333333333335, ""CASH-BRL"": 0.63, ""PETR4.SA"": 0.15416666666666665}","Sem gatilho forte; fica em balanced. | Tickers sem preço válido caíram para caixa: SPY,QQQ,VALE3.SA,SHY"
2023-01-04,2023-01-04,apollo_200,Apollo,200.0,balanced,stable,0.625,0.25,equilibrio,0,0,,"{""BTC-USD"": 0.21583333333333335, ""CASH-BRL"": 0.63, ""PETR4.SA"": 0.15416666666666665}","Sem gatilho forte; fica em balanced. | Tickers sem preço válido caíram para caixa: SPY,QQQ,VALE3.SA,SHY"
2023-01-05,2023-01-05,apollo_200,Apollo,200.0,balanced,stable,0.625,0.25,equilibrio,0,0,,"{""BTC-USD"": 0.21583333333333335, ""CASH-BRL"": 0.63, ""PETR4.SA"": 0.15416666666666665}","Sem gatilho forte; fica em balanced. | Tickers sem preço válido caíram para caixa: SPY,QQQ,VALE3.SA,SHY"
2023-01-06,2023-01-06,apollo_200,Apollo,200.0,balanced,stable,0.625,0.25,equilibrio,0,0,,"{""BTC-USD"": 0.21583333333333335, ""CASH-BRL"": 0.63, ""PETR4.SA"": 0.15416666666666665}","Sem gatilho forte; fica em balanced. | Tickers sem preço válido caíram para caixa: SPY,QQQ,VALE3.SA,SHY"
2023-01-09,2023-01-09,apollo_200,Apollo,200.0,balanced,stable,0.625,0.25,equilibrio,0,0,,"{""BTC-USD"": 0.21583333333333335, ""CASH-BRL"": 0.63, ""PETR4.SA"": 0.15416666666666665}","Sem gatilho forte; fica em balanced. | Tickers sem preço válido caíram para caixa: SPY,QQQ,VALE3.SA,SHY"
2023-01-10,2023-01-10,apollo_200,Apollo,200.0,balanced,stable,0.625,0.25,equilibrio,0,0,,"{""BTC-USD"": 0.21583333333333335, ""CASH-BRL"": 0.63, ""PETR4.SA"": 0.15416666666666665}","Sem gatilho forte; fica em balanced. | Tickers sem preço válido caíram para caixa: SPY,QQQ,VALE3.SA,SHY"
2023-01-11,2023-01-11,apollo_200,Apollo,200.0,balanced,stable,0.625,0.25,equilibrio,0,0,,"{""BTC-USD"": 0.21583333333333335, ""CASH-BRL"": 0.63, ""PETR4.SA"": 0.15416666666666665}","Sem gatilho forte; fica em balanced. | Tickers sem preço válido caíram para caixa: SPY,QQQ,VALE3.SA,SHY"
2023-01-12,2023-01-12,apollo_200,Apollo,200.0,balanced,stable,0.625,0.25,equilibrio,0,0,,"{""BTC-USD"": 0.21583333333333335, ""CASH-BRL"": 0.63, ""PETR4.SA"": 0.15416666666666665}","Sem gatilho forte; fica em balanced. | Tickers sem preço válido caíram para caixa: SPY,QQQ,VALE3.SA,SHY"
2023-01-13,2023-01-13,apollo_200,Apollo,200.0,balanced,stable,0.625,0.25,equilibrio,0,0,,"{""BTC-USD"": 0.21583333333333335, ""CASH-BRL"": 0.63, ""PETR4.SA"": 0.15416666666666665}","Sem gatilho forte; fica em balanced. | Tickers sem preço válido caíram para caixa: SPY,QQQ,VALE3.SA,SHY"
2023-01-16,2023-01-16,apollo_200,Apollo,200.0,balanced,stable,0.625,0.25,equilibrio,0,0,,"{""BTC-USD"": 0.21583333333333335, ""CASH-BRL"": 0.63, ""PETR4.SA"": 0.15416666666666665}","Sem gatilho forte; fica em balanced. | Tickers sem preço válido caíram para caixa: SPY,QQQ,VALE3.SA,SHY"
2023-01-17,2023-01-17,apollo_200,Apollo,200.0,balanced,stable,0.625,0.25,equilibrio,0,0,,"{""BTC-USD"": 0.21583333333333335, ""CASH-BRL"": 0.63, ""PETR4.SA"": 0.15416666666666665}","Sem gatilho forte; fica em balanced. | Tickers sem preço válido caíram para caixa: SPY,QQQ,VALE3.SA,SHY"
2023-01-18,2023-01-18,apollo_200,Apollo,200.0,balanced,stable,0.625,0.25,equilibrio,0,0,,"{""BTC-USD"": 0.21583333333333335, ""CASH-BRL"": 0.63, ""PETR4.SA"": 0.15416666666666665}","Sem gatilho forte; fica em balanced. | Tickers sem preço válido caíram para caixa: SPY,QQQ,VALE3.SA,SHY"
2023-01-19,2023-01-19,apollo_200,Apollo,200.0,balanced,transition,0.625,0.25,equilibrio,0,0,,"{""BTC-USD"": 0.21583333333333335, ""CASH-BRL"": 0.63, ""PETR4.SA"": 0.15416666666666665}","Transition pede postura intermediária. | Tickers sem preço válido caíram para caixa: SPY,QQQ,VALE3.SA,SHY"
2023-01-20,2023-01-20,apollo_200,Apollo,200.0,balanced,transition,0.625,0.25,equilibrio,0,0,,"{""BTC-USD"": 0.21583333333333335, ""CASH-BRL"": 0.63, ""PETR4.SA"": 0.15416666666666665}","Transition pede postura intermediária. | Tickers sem preço válido caíram para caixa: SPY,QQQ,VALE3.SA,SHY"
2023-01-23,2023-01-23,apollo_200,Apollo,200.0,balanced,transition,0.625,0.25,equilibrio,0,0,,"{""BTC-USD"": 0.21583333333333335, ""CASH-BRL"": 0.63, ""PETR4.SA"": 0.15416666666666665}","Transition pede postura intermediária. | Tickers sem preço válido caíram para caixa: SPY,QQQ,VALE3.SA,SHY"
2023-01-24,2023-01-24,apollo_200,Apollo,200.0,risk_on,stable,0.95,1.0,ataque,0,0,,"{""BTC-USD"": 0.3, ""CASH-BRL"": 0.55, ""PETR4.SA"": 0.15}","Confiança e postura permitem risk-on. | Tickers sem preço válido caíram para caixa: SPY,QQQ,VALE3.SA,SHY"
2023-01-25,2023-01-25,apollo_200,Apollo,200.0,risk_on,stable,0.95,1.0,ataque,0,0,,"{""BTC-USD"": 0.3, ""CASH-BRL"": 0.55, ""PETR4.SA"": 0.15}","Confiança e postura permitem risk-on. | Tickers sem preço válido caíram para caixa: SPY,QQQ,VALE3.SA,SHY"
2023-01-26,2023-01-26,apollo_200,Apollo,200.0,risk_on,stable,0.95,1.0,ataque,0,0,,"{""BTC-USD"": 0.3, ""CASH-BRL"": 0.55, ""PETR4.SA"": 0.15}","Confiança e postura permitem risk-on. | Tickers sem preço válido caíram para caixa: SPY,QQQ,VALE3.SA,SHY"
2023-01-27,2023-01-27,apollo_200,Apollo,200.0,risk_on,stable,0.95,1.0,ataque,0,0,,"{""BTC-USD"": 0.3, ""CASH-BRL"": 0.55, ""PETR4.SA"": 0.15}","Confiança e postura permitem risk-on. | Tickers sem preço válido caíram para caixa: SPY,QQQ,VALE3.SA,SHY"
2023-01-30,2023-01-30,apollo_200,Apollo,200.0,risk_on,stable,0.95,1.0,ataque,0,0,,"{""BTC-USD"": 0.3, ""CASH-BRL"": 0.55, ""PETR4.SA"": 0.15}","Confiança e postura permitem risk-on. | Tickers sem preço válido caíram para caixa: SPY,QQQ,VALE3.SA,SHY"
2023-01-31,2023-01-31,apollo_200,Apollo,200.0,risk_on,stable,0.95,1.0,ataque,0,0,,"{""BTC-USD"": 0.3, ""CASH-BRL"": 0.55, ""PETR4.SA"": 0.15}","Confiança e postura permitem risk-on. | Tickers sem preço válido caíram para caixa: SPY,QQQ,VALE3.SA,SHY"
2023-02-01,2023-02-01,apollo_200,Apollo,200.0,risk_on,stable,0.95,1.0,ataque,0,0,,"{""BTC-USD"": 0.3, ""CASH-BRL"": 0.55, ""PETR4.SA"": 0.15}","Confiança e postura permitem risk-on. | Tickers sem preço válido caíram para caixa: SPY,QQQ,VALE3.SA,SHY"
2023-02-02,2023-02-02,apollo_200,Apollo,200.0,risk_on,stable,0.95,1.0,ataque,0,0,,"{""BTC-USD"": 0.3, ""CASH-BRL"": 0.55, ""PETR4.SA"": 0.15}","Confiança e postura permitem risk-on. | Tickers sem preço válido caíram para caixa: SPY,QQQ,VALE3.SA,SHY"
2023-02-03,2023-02-03,apollo_200,Apollo,200.0,opportunistic,dispersion,0.95,1.0,ataque,0,0,,"{""BTC-USD"": 0.27599999999999997, ""CASH-BRL"": 0.54, ""PETR4.SA"": 0.184}","Dispersion libera busca mais oportunística. | Tickers sem preço válido caíram para caixa: SPY,QQQ,VALE3.SA,SHY"
2023-02-06,2023-02-06,apollo_200,Apollo,200.0,opportunistic,dispersion,0.95,1.0,ataque,0,0,,"{""BTC-USD"": 0.27599999999999997, ""CASH-BRL"": 0.54, ""PETR4.SA"": 0.184}","Dispersion libera busca mais oportunística. | Tickers sem preço válido caíram para caixa: SPY,QQQ,VALE3.SA,SHY"
