date,as_of_date,scenario_id,alias,capital_brl,market_state,driver_regime,driver_confidence_score,driver_gross_exposure,recommended_mode,order_count,fill_count,selected_assets,target_weights_json,notes
2024-01-02,2024-01-02,hephaestus_1000,Hephaestus,1000.0,balanced,transition,0.95,1.0,ataque,4,4,"BTC-USD,ITUB4.SA,PETR4.SA,ETH-USD","{""BTC-USD"": 0.23333333333333334, ""CASH-BRL"": 0.3, ""ETH-USD"": 0.11666666666666667, ""ITUB4.SA"": 0.175, ""PETR4.SA"": 0.175}",Transition pede postura intermediária. | Tickers sem preço válido caíram para caixa: VALE3.SA
2024-01-03,2024-01-03,hephaestus_1000,Hephaestus,1000.0,balanced,transition,0.95,1.0,ataque,0,0,"BTC-USD,PETR4.SA,ITUB4.SA,ETH-USD","{""BTC-USD"": 0.23333333333333334, ""CASH-BRL"": 0.3, ""ETH-USD"": 0.11666666666666667, ""ITUB4.SA"": 0.175, ""PETR4.SA"": 0.175}",Transition pede postura intermediária. | Tickers sem preço válido caíram para caixa: VALE3.SA
2024-01-04,2024-01-04,hephaestus_1000,Hephaestus,1000.0,defense,stress,0.95,1.0,proteção,4,4,,"{""CASH-BRL"": 1.0}","Mercado em proteção, vigilância ruim ou stress estrutural."
2024-01-05,2024-01-05,hephaestus_1000,Hephaestus,1000.0,defense,stress,0.95,1.0,proteção,0,0,,"{""CASH-BRL"": 1.0}","Mercado em proteção, vigilância ruim ou stress estrutural."
2024-01-08,2024-01-08,hephaestus_1000,Hephaestus,1000.0,defense,stress,0.95,1.0,proteção,0,0,,"{""CASH-BRL"": 1.0}","Mercado em proteção, vigilância ruim ou stress estrutural."
2024-01-09,2024-01-09,hephaestus_1000,Hephaestus,1000.0,defense,stress,0.95,1.0,proteção,0,0,,"{""CASH-BRL"": 1.0}","Mercado em proteção, vigilância ruim ou stress estrutural."
2024-01-10,2024-01-10,hephaestus_1000,Hephaestus,1000.0,defense,stress,0.95,1.0,proteção,0,0,,"{""CASH-BRL"": 1.0}","Mercado em proteção, vigilância ruim ou stress estrutural."
2024-01-11,2024-01-11,hephaestus_1000,Hephaestus,1000.0,defense,stress,0.95,1.0,proteção,0,0,,"{""CASH-BRL"": 1.0}","Mercado em proteção, vigilância ruim ou stress estrutural."
2024-01-12,2024-01-12,hephaestus_1000,Hephaestus,1000.0,defense,stress,0.95,1.0,proteção,0,0,,"{""CASH-BRL"": 1.0}","Mercado em proteção, vigilância ruim ou stress estrutural."
2024-01-15,2024-01-15,hephaestus_1000,Hephaestus,1000.0,defense,stress,0.95,1.0,proteção,0,0,,"{""CASH-BRL"": 1.0}","Mercado em proteção, vigilância ruim ou stress estrutural."
