date,as_of_date,scenario_id,alias,capital_brl,market_state,driver_regime,driver_confidence_score,driver_gross_exposure,recommended_mode,order_count,fill_count,selected_assets,target_weights_json,notes
2024-01-02,2024-01-02,apollo_10000,Apollo,10000.0,balanced,transition,0.95,1.0,ataque,4,4,"BTC-USD,PETR4.SA,ITUB4.SA,ETH-USD","{""BTC-USD"": 0.14, ""CASH-BRL"": 0.63, ""ETH-USD"": 0.06, ""ITUB4.SA"": 0.07, ""PETR4.SA"": 0.1}","Transition pede postura intermediária. | Tickers sem preço válido caíram para caixa: SPY,QQQ,VALE3.SA,SHY"
2024-01-03,2024-01-03,apollo_10000,Apollo,10000.0,balanced,transition,0.95,1.0,ataque,0,0,"BTC-USD,PETR4.SA,ITUB4.SA,ETH-USD","{""BTC-USD"": 0.14, ""CASH-BRL"": 0.63, ""ETH-USD"": 0.06, ""ITUB4.SA"": 0.07, ""PETR4.SA"": 0.1}","Transition pede postura intermediária. | Tickers sem preço válido caíram para caixa: SPY,QQQ,VALE3.SA,SHY"
2024-01-04,2024-01-04,apollo_10000,Apollo,10000.0,defense,stress,0.95,1.0,proteção,4,4,,"{""CASH-BRL"": 1.0}","Mercado em proteção, vigilância ruim ou stress estrutural. | Tickers sem preço válido caíram para caixa: SHY"
2024-01-05,2024-01-05,apollo_10000,Apollo,10000.0,defense,stress,0.95,1.0,proteção,0,0,,"{""CASH-BRL"": 1.0}","Mercado em proteção, vigilância ruim ou stress estrutural. | Tickers sem preço válido caíram para caixa: SHY"
2024-01-08,2024-01-08,apollo_10000,Apollo,10000.0,defense,stress,0.95,1.0,proteção,0,0,,"{""CASH-BRL"": 1.0}","Mercado em proteção, vigilância ruim ou stress estrutural. | Tickers sem preço válido caíram para caixa: SHY"
2024-01-09,2024-01-09,apollo_10000,Apollo,10000.0,defense,stress,0.95,1.0,proteção,0,0,,"{""CASH-BRL"": 1.0}","Mercado em proteção, vigilância ruim ou stress estrutural. | Tickers sem preço válido caíram para caixa: SHY"
2024-01-10,2024-01-10,apollo_10000,Apollo,10000.0,defense,stress,0.95,1.0,proteção,0,0,,"{""CASH-BRL"": 1.0}","Mercado em proteção, vigilância ruim ou stress estrutural. | Tickers sem preço válido caíram para caixa: SHY"
2024-01-11,2024-01-11,apollo_10000,Apollo,10000.0,defense,stress,0.95,1.0,proteção,0,0,,"{""CASH-BRL"": 1.0}","Mercado em proteção, vigilância ruim ou stress estrutural. | Tickers sem preço válido caíram para caixa: SHY"
2024-01-12,2024-01-12,apollo_10000,Apollo,10000.0,defense,stress,0.95,1.0,proteção,0,0,,"{""CASH-BRL"": 1.0}","Mercado em proteção, vigilância ruim ou stress estrutural. | Tickers sem preço válido caíram para caixa: SHY"
2024-01-15,2024-01-15,apollo_10000,Apollo,10000.0,defense,stress,0.95,1.0,proteção,0,0,,"{""CASH-BRL"": 1.0}","Mercado em proteção, vigilância ruim ou stress estrutural. | Tickers sem preço válido caíram para caixa: SHY"
2024-01-16,2024-01-16,apollo_10000,Apollo,10000.0,balanced,transition,0.95,1.0,ataque,4,4,"BTC-USD,PETR4.SA,ITUB4.SA,ETH-USD","{""BTC-USD"": 0.14, ""CASH-BRL"": 0.63, ""ETH-USD"": 0.06, ""ITUB4.SA"": 0.07, ""PETR4.SA"": 0.1}","Transition pede postura intermediária. | Tickers sem preço válido caíram para caixa: SPY,QQQ,VALE3.SA,SHY"
2024-01-17,2024-01-17,apollo_10000,Apollo,10000.0,balanced,transition,0.95,1.0,ataque,0,0,"BTC-USD,PETR4.SA,ITUB4.SA,ETH-USD","{""BTC-USD"": 0.14, ""CASH-BRL"": 0.63, ""ETH-USD"": 0.06, ""ITUB4.SA"": 0.07, ""PETR4.SA"": 0.1}","Transition pede postura intermediária. | Tickers sem preço válido caíram para caixa: SPY,QQQ,VALE3.SA,SHY"
2024-01-18,2024-01-18,apollo_10000,Apollo,10000.0,balanced,transition,0.95,1.0,ataque,0,0,"BTC-USD,PETR4.SA,ITUB4.SA,ETH-USD","{""BTC-USD"": 0.14, ""CASH-BRL"": 0.63, ""ETH-USD"": 0.06, ""ITUB4.SA"": 0.07, ""PETR4.SA"": 0.1}","Transition pede postura intermediária. | Tickers sem preço válido caíram para caixa: SPY,QQQ,VALE3.SA,SHY"
2024-01-19,2024-01-19,apollo_10000,Apollo,10000.0,balanced,transition,0.95,1.0,ataque,0,0,"BTC-USD,PETR4.SA,ITUB4.SA,ETH-USD","{""BTC-USD"": 0.14, ""CASH-BRL"": 0.63, ""ETH-USD"": 0.06, ""ITUB4.SA"": 0.07, ""PETR4.SA"": 0.1}","Transition pede postura intermediária. | Tickers sem preço válido caíram para caixa: SPY,QQQ,VALE3.SA,SHY"
2024-01-22,2024-01-22,apollo_10000,Apollo,10000.0,balanced,transition,0.95,1.0,ataque,1,1,"BTC-USD,PETR4.SA,ITUB4.SA,ETH-USD","{""BTC-USD"": 0.14, ""CASH-BRL"": 0.63, ""ETH-USD"": 0.06, ""ITUB4.SA"": 0.07, ""PETR4.SA"": 0.1}","Transition pede postura intermediária. | Tickers sem preço válido caíram para caixa: SPY,QQQ,VALE3.SA,SHY"
